"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","GOBP_MAPK_CASCADE",9.99900009999e-05,0.00212465390351587,0.554966930792146,1.2612846843738,0,616,"Ccl5,Ccl12,Ccl2,Psmb9,Psmb8,Ccl3,Il2rg,Icam1,Ptprc,Eif2ak2,Il6,Atf3,Myd88,Xdh,Zfp36,Gadd45g,Psmb10,Psme1,Cd74,Tmem106a,Gadd45b,Ccr1,Cd44,Thbs1,Tlr3,Glipr2,Ccn1,Tnf,Ctsh,Ccl4,Csf2rb,Csf2rb2,Ccr5,Clec7a,Fcgr2b,P2ry6,Il2rb,Cd40,Adam8,Rasa4,Daxx,Spi1,Fas,Mmp8,Gpnmb,Mdfic,Cxcr4,Cflar,Havcr2,Stk40,Rras,Ptpn6,Lyn,Gadd45a,Tlr4,Myc,Ripk1,Pycard,Trib1,Igfbp3,Tgfb1,Ptpn1,Ncf1,Edn1,Laptm5,Gdf15,Ltbr,Iqgap1,Rap1b,Errfi1,Timp3,Jak2,Map3k8,Dusp2,Ccr7,Map3k6,Il1b,Per1,Prkd2,Ripk2,Sphk1,Tirap,Csf2ra,Pik3cg,Hbegf,Arhgap8,Gcnt2,Trf,C5ar1,Fpr1,Sfrp1,Psmb2,Rnf149,Ptpn22,Zfp36l2,Ccn2,Mid1,Hgf,Dbnl,Tlr6,Map2k3,Ezr,Psca,Mapkapk2,Il2ra,Plce1,Map3k14,Gps2,Tnip2,Flt3l,Psma7,Nfkb1,Nup62,Il18,Syk,Vrk2,Tlr9,Shc1,Sh2d3c,Traf1,Psmf1,Sdcbp,Dusp6,Fgf2,Cdk1"
"2","GOBP_MICROGLIAL_CELL_ACTIVATION",0.000106678045658204,0.00212465390351587,0.863413855752897,1.83496709116381,0,36,"Ptprc,Il6,Tlr2,Itgb2,Ctsc,Cst7,C1qa,Tlr3,Tlr7,Tnf,Aif1,Tlr1,Ifng,Grn,Itgam,Tyrobp,Mmp8,Jak2,Il33,Sphk1,C5ar1,Tlr6,Atm,Tlr8"
"3","GOBP_CELL_ACTIVATION",9.99900009999e-05,0.00212465390351587,0.715375807359216,1.63009211537947,0,961,"Cxcl10,Rsad2,Ccl5,Plac8,H2-K1,Ccl12,Cd274,Lcn2,Ifi35,Fcgr4,Lgals9,Irf1,B2m,Nmi,C3,Icam1,Ptprc,Il6,Myd88,Cybb,Timp1,Fgl2,Irf8,Fcer1g,Hmox1,Tlr2,Serpina3n,Cd53,Cyba,C3ar1,Itgb2,Ctsc,Cdkn1a,Cst7,Ctss,Sell,Ptx3,Il12b,Psmb10,Cd74,Stat3,Tmem106a,Gpr84,Anxa2,Casp8,Cd44,Plek,C1qa,Tcirg1,Thbs1,Tlr3,Batf2,Cd68,Msn,H2-M3,Tlr7,Tnfaip3,Tnf,Lcp1,Ctsh,Aif1,Parp3,Vcam1,Slc11a1,Cd300lf,Cd86,Ifnb1,Hspb1,Ctsz,Clic1,Slamf7,B4galt1,Tlr1,Rac2,Il15,Csf1,Vav1,Cd180,Ifng,Sting1,Clec7a,Fcgr2b,Il12rb1,Socs1,Grn,Mvp,Ubd,Samsn1,Klf6,Fermt3,Il7r,Itgam,Lcp2,Lck,Cd40,Glipr1,Cebpb,Tyrobp,Nckap1l,Hp,Lyz1,Adam8,Anxa1,Cd14,Pglyrp1,Ada,Ccr2,Relb,Klrc1,Il4ra,Spi1,Cd93,Lrg1,Mmp8,Gpnmb,Slamf8,Sdc4,Icos,Itgax,Tnfsf8,Gna13,Plscr1,Il21r,Anxa3,Plaur,Havcr2,Bcl3,Anpep,Lat2,Inpp5d,Pnp,Cd3g,Mad2l2,Ptpn6,Nfkbiz,Prf1,Pla2g4a,Tnfrsf1b,Il10,Npc2,Lyn,Loxl3,Rhoh,Axl,Batf,Tlr4,Fcgr3,Mmp14,Arg2,Il17ra,Clec4d,Txk,Pycard,Ifna6,Cd151,Tgfb1,Rab29,Arg1,Clec5a,Lgals1,Lag3,Edn1,Gmfg,Bst1,Tnfrsf4,Laptm5,Fgr,Fes,Ampd3,Dll1,Nfkb2,Ltbr,Sash3,Iqgap1,Rap1b,Clec4b1,Dock2,Mgst1,Pdpn,Tbx21,Cstb,Gla,Pgm2,Lair1,Lamp2,Il6ra,Hvcn1,Vamp8,Arhgap9,Jak2,Selp,Map3k8,Pecam1,Plcg2,Dnase1l1,Il18rap,Itgal,Mafb,Cd2,Ccr7,P2rx4,Bak1,Icosl,Il1b,Pirb,Ido1,Stxbp3,Serpina3c,Il33,Cd8b1,Was,Ripk2,Tnfsf13b,Sphk1,Gns,Arhgap45,Tirap,Tmbim1,Tnfsf14,Bcl10,Dok3,Ly9,Pik3cg,Lbp,Ccnd3,Skap2,Crlf2,Mertk,Snap23,Pygl,St3gal1,Slamf6,Zbtb7b,Ctla4,Blnk,C5ar1,Slpi,Fpr1,Vnn1,Mfng,Slc7a1,Sfrp1,F11r,Cd28,Ptpn22,Prdm1,Zfp36l2,Flna,Gata2,Cd3d,Sucnr1,Enpp4,Ccn2,Dbnl,Ly6d,Tlr6,Stom,Cebpg,Tnfrsf18,Egr1,Slc7a11,Runx1,Il2ra,Ostf1,Rhog,Olr1,Il1a,Ebi3,Ncr1,Cd244a,Gps2,Tnip2,Flt3l,Tgfbr2,Peli1,Cnn2,Hspa1a,Tec,Ripk3,Nfkb1,Pdcd1,Atm,Ikzf1,Sox11,Myh9,Hells,Il18,Gata3,Syk,Cd9,Plekho2,Tlr8,Tlr9,Gab2,Gna14,Cd5,Itk,Iqgap2,Btk,Galns,Ctsb,Cd1d1,Cxcl5,Cd200,Cebpa,Atp7a,Tln1,Bcl6,Fut7,Sdcbp,Tcim,Cmtm7,Lrrc8a,Inhba,Trp53,Hfe,Dnase1l3,Xbp1,Cd8a,Selplg,Cxadr,Cnr2,Nr1h3,Stxbp2,Cd38,Cd36,Nos3,Adgre5,Apaf1,S100a8,Vwf"
"4","GOBP_CYTOKINE_PRODUCTION",9.99900009999e-05,0.00212465390351587,0.74882194030893,1.70060108671414,0,508,"Rsad2,Isg15,Irf7,H2-K1,Stat1,Cd274,Ifih1,Lgals9,Irf1,B2m,Nmi,C3,Ifi209,Ifi203,Ptprc,Eif2ak2,Tspo,Trim21,Ube2l6,Il6,Myd88,Acod1,Zbp1,Irf8,Fcer1g,Hmox1,Tlr2,Zfp36,Trim25,Cyba,Dhx58,C3ar1,Serpine1,Il12b,Pld4,Cd74,Stat3,Tmem106a,Ptgs2,Casp1,Casp8,Thbs1,Tlr3,H2-M3,Tlr7,Tnfaip3,Tnf,Aif1,Slc11a1,Cd86,Ifnb1,Rnf135,Cyp1b1,Hspb1,Apod,Tlr1,Il15,Ifng,Sting1,Clec7a,Fcgr2b,Il12rb1,Socs1,Ly96,Anxa4,Cd40,Pml,Ddit3,Cebpb,Tyrobp,Nckap1l,Adam8,Anxa1,Cd14,Ccr2,Relb,Il4ra,Ikbke,Mmp8,Gpnmb,Nrros,Il1r2,Litaf,Havcr2,Bcl3,S1pr3,Inpp5d,Pnp,Ptpn6,Irf5,Tnfrsf1b,Il10,Lyn,Axl,Batf,Tlr4,Ripk1,Il1r1,Arg2,Il17ra,Txk,Pycard,Nos2,Tgfb1,Arg1,Lag3,Igf2bp2,Laptm5,Mcoln2,Fgr,Dll1,Nfkb2,Sash3,Errfi1,Tbx21,Rab7b,Il6ra,Jak2,Plcg2,Cd2,Ccr7,Icosl,Il1b,Per1,Ido1,Prkd2,Atf4,Il33,Ripk2,Ackr1,Sphk1,Rela,Tirap,Cd96,Bcl10,Ly9,Pik3cg,Lbp,Crlf2,Mertk,Slamf6,Zbtb7b,Clec4n,C5ar1,F11r,Cd28,Ltbp1,Ptpn22,Mefv,Hgf,Stat6,Tlr6,Rel,Cebpg,Map2k3,Ezr,Egr1,Ltb,Cd200r1,Mapkapk2,Runx1,Gpsm3,Riok3,Slc7a5,Il1a,Ebi3,Cd244a,Ddx21,Peli1,Hspa1a,Ripk3,Nfkb1,Il18,Gata3,Syk,Tlr8,Tlr9,Furin,Itk,Btk,Cxcl5,Cd200,Bcl6"
"5","GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION",0.0001000100010001,0.00212465390351587,0.746944787925577,1.68493385984147,0,193,"Isg15,Cd274,Ifih1,Lgals9,Nmi,Ptprc,Tspo,Ube2l6,Il6,Acod1,Hmox1,Zfp36,Trim25,Dhx58,Il12b,Thbs1,Tnfaip3,Tnf,Slc11a1,Ifnb1,Rnf135,Apod,Ifng,Fcgr2b,Anxa4,Pml,Ddit3,Tyrobp,Nckap1l,Anxa1,Relb,Ikbke,Mmp8,Gpnmb,Il1r2,Havcr2,Bcl3,Inpp5d,Ptpn6,Il10,Axl,Tlr4,Arg2,Pycard,Tgfb1,Arg1,Lag3,Laptm5,Dll1,Errfi1,Tbx21,Ccr7,Ido1,Il33,Cd96,Lbp,Mertk,Ptpn22,Mefv,Hgf,Tlr6,Rel,Ezr,Cd200r1,Nfkb1,Gata3,Tlr8,Tlr9,Furin,Btk,Cd200,Bcl6,Inhba,Hfe"
"6","GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION",9.99900009999e-05,0.00212465390351587,0.770075530240057,1.74242265824037,0,312,"Rsad2,Irf7,H2-K1,Stat1,Cd274,Ifih1,Irf1,B2m,C3,Ifi209,Ifi203,Ptprc,Eif2ak2,Il6,Myd88,Zbp1,Irf8,Fcer1g,Hmox1,Tlr2,Cyba,Dhx58,C3ar1,Serpine1,Il12b,Cd74,Stat3,Ptgs2,Casp1,Casp8,Thbs1,Tlr3,H2-M3,Tlr7,Tnf,Aif1,Slc11a1,Cd86,Rnf135,Cyp1b1,Hspb1,Tlr1,Il15,Ifng,Sting1,Clec7a,Il12rb1,Ly96,Cd40,Ddit3,Cebpb,Tyrobp,Adam8,Anxa1,Cd14,Ccr2,Il4ra,Mmp8,Havcr2,Bcl3,Irf5,Il10,Tlr4,Ripk1,Il1r1,Il17ra,Txk,Pycard,Tgfb1,Laptm5,Mcoln2,Fgr,Nfkb2,Sash3,Rab7b,Il6ra,Jak2,Plcg2,Cd2,Ccr7,Il1b,Ido1,Prkd2,Atf4,Il33,Ripk2,Sphk1,Rela,Tirap,Bcl10,Ly9,Lbp,Crlf2,Slamf6,Clec4n,C5ar1,Cd28,Ptpn22,Hgf,Stat6,Tlr6,Cebpg,Egr1,Ltb,Mapkapk2,Runx1,Gpsm3,Riok3,Slc7a5,Il1a,Ebi3,Cd244a,Ddx21,Peli1,Hspa1a,Nfkb1,Il18,Gata3,Syk,Tlr8,Tlr9,Furin"
"7","GOBP_CELL_KILLING",0.000100522718134298,0.00212465390351587,0.783468801580935,1.75465566159658,0,102,"H2-K1,Ccl2,B2m,C3,Icam1,Ptprc,Ctsc,Il12b,Casp8,H2-M3,Ctsh,Slamf7,Vav1,Ifng,Clec7a,Fcgr2b,Il12rb1,Serpinb9,Il7r,Itgam,Tyrobp,Lyz1,Pglyrp1,Klrc1,Klrd1,Havcr2,Ptpn6,Prf1,Nos2,Rnf19b,Arg1,Lag3,Il18rap,Slamf6,Cebpg,Ncr1,Bcl2l11,Ripk3,Cr1l,Il18,Syk,Cd1d1,Cxcl5,Dnase1l3,Cfh,Stxbp2"
"8","GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY",0.000101337657073368,0.00212465390351587,0.774513958999132,1.71949384608865,0,76,"H2-K1,B2m,Icam1,Ptprc,Ctsc,Il12b,H2-M3,Ctsh,Slamf7,Vav1,Fcgr2b,Il12rb1,Serpinb9,Il7r,Itgam,Tyrobp,Klrc1,Klrd1,Havcr2,Ptpn6,Prf1,Nos2,Rnf19b,Arg1,Lag3,Il18rap,Slamf6,Cebpg,Ncr1,Ripk3,Il18,Cd1d1,Cxcl5,Dnase1l3,Stxbp2"
"9","GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY",0.000102774922918808,0.00212465390351587,0.783490247768021,1.71752206102065,0,57,"H2-K1,B2m,Icam1,Ptprc,Il12b,H2-M3,Vav1,Fcgr2b,Il12rb1,Serpinb9,Il7r,Itgam,Tyrobp,Klrc1,Klrd1,Havcr2,Nos2,Arg1,Lag3,Il18rap,Slamf6,Ncr1,Ripk3,Cd1d1,Cxcl5,Dnase1l3"
"10","GOBP_T_CELL_MEDIATED_CYTOTOXICITY",0.000107457554266065,0.00212465390351587,0.842725684549748,1.78186138532435,0,34,"H2-K1,B2m,Ptprc,Ctsc,Il12b,H2-M3,Ctsh,Fcgr2b,Il12rb1,Il7r,Klrc1,Klrd1,Prf1"
